Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Owner,Above 10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Overturning,Slight Injury
31-50,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Elementary school,Employee,Below 1yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
31-50,Male,Elementary school,Employee,5-10yr,Turbo,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overspeed,Slight Injury
31-50,Male,High school,Employee,Below 1yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,Elementary school,Employee,5-10yr,Special vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving at high speed,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,Slight Injury
Over 51,Male,High school,Owner,Above 10yr,Bicycle,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
Under 18,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
Under 18,Male,High school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
Over 51,Male,Above high school,Employee,Above 10yr,Public (13?45 seats),Owner,Office areas,Double carriageway (median),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,"Walking along in carriageway, back to traffic",No priority to vehicle,Slight Injury
31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,High school,Employee,1-2yr,Taxi,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,Above high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
Over 51,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,U-Turn,Not a Pedestrian,Moving Backward,Serious Injury
18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Organization, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,High school,Employee,Above 10yr,Automobile,Organization, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Bajaj,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,High school,Owner,5-10yr,Lorry (11?40Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Serious Injury
18-30,Male,Junior high school,Employee,1-2yr,Automobile,Governmental, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No priority to vehicle,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Elementary school,Employee,5-10yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
